Jumlah
831500
1291990
353240
494260
281470
1076400
303550
1091600
69930
125360
372260
3539400
3867420
450250
4292150
668740
168340
735620
1134110
369730
136450
195010
222390
49590
189050
413490
779640
301850
188300
152830
317840
81930
213670
915220
0
